batch_size,nrows,time,p_time
16,16,5.08294e-05,0
16,32,4.77896e-05,0
16,64,4.88097e-05,0
16,128,5.92075e-05,0
16,256,7.51541e-05,0
16,512,0.000106267,0
16,1024,0.000164885,0
16,2048,0.000271505,0
32,16,4.78135e-05,0
32,32,5.09748e-05,0
32,64,5.17816e-05,0
32,128,5.75342e-05,0
32,256,6.98946e-05,0
32,512,9.68894e-05,0
32,1024,0.000159801,0
32,2048,0.000274035,0
64,16,4.94774e-05,0
64,32,5.07447e-05,0
64,64,5.16696e-05,0
64,128,5.34178e-05,0
64,256,7.55961e-05,0
64,512,0.000105893,0
64,1024,0.000158679,0
64,2048,0.000302503,0
128,16,4.95132e-05,0
128,32,5.07265e-05,0
128,64,5.1099e-05,0
128,128,5.67214e-05,0
128,256,7.12805e-05,0
128,512,0.000109712,0
128,1024,0.000174998,0
128,2048,0.000271617,0
256,16,4.71423e-05,0
256,32,5.09286e-05,0
256,64,5.18391e-05,0
256,128,5.97161e-05,0
256,256,7.61382e-05,0
256,512,0.000105027,0
256,1024,0.000163511,0
256,2048,0.000315878,0
512,16,6.32129e-05,0
512,32,5.12385e-05,0
512,64,5.30432e-05,0
512,128,6.34483e-05,0
512,256,8.27571e-05,0
512,512,0.000119386,0
512,1024,0.000186262,0
512,2048,0.000340811,0
1024,16,4.98991e-05,0
1024,32,5.25184e-05,0
1024,64,5.65012e-05,0
1024,128,6.71697e-05,0
1024,256,8.34267e-05,0
1024,512,0.000138788,0
1024,1024,0.000239853,0
1024,2048,0.00042163,0
2048,16,5.07747e-05,0
2048,32,5.61189e-05,0
2048,64,6.69788e-05,0
2048,128,8.29426e-05,0
2048,256,0.000120966,0
2048,512,0.000224513,0
2048,1024,0.000402312,0
2048,2048,0.000687798,0
4096,16,5.30848e-05,0
4096,32,6.44757e-05,0
4096,64,7.93106e-05,0
4096,128,0.000121971,0
4096,256,0.000199674,0
4096,512,0.000349147,0
4096,1024,0.000614463,0
4096,2048,0.00125942,0
8192,16,6.4656e-05,0
8192,32,7.99699e-05,0
8192,64,0.00011205,0
8192,128,0.000182262,0
8192,256,0.000309154,0
8192,512,0.000602021,0
8192,1024,0.00110744,0
8192,2048,0.00220242,0
16384,16,7.74108e-05,0
16384,32,0.000117015,0
16384,64,0.000188954,0
16384,128,0.000337841,0
16384,256,0.000602962,0
16384,512,0.000968897,0
16384,1024,0.00214503,0
16384,2048,0.00406353,0
32768,16,0.000108922,0
32768,32,0.000195642,0
32768,64,0.000349604,0
32768,128,0.000620794,0
32768,256,0.00109955,0
32768,512,0.00214227,0
32768,1024,0.00411525,0
32768,2048,0.00786533,0
65536,16,0.000178797,0
65536,32,0.000318168,0
65536,64,0.00066761,0
65536,128,0.0011838,0
65536,256,0.00222339,0
65536,512,0.00432377,0
65536,1024,0.00728788,0
65536,2048,0.0146427,0
131072,16,0.000308608,0
131072,32,0.000519746,0
131072,64,0.00128122,0
131072,128,0.00230575,0
131072,256,0.00437994,0
131072,512,0.00824737,0
131072,1024,0.0140804,0
131072,2048,0.0282939,0
