batch_size,nrows,time,p_time
16,16,4.99727e-05,3.15e-06
16,32,4.92302e-05,3.1e-06
16,64,4.83315e-05,3e-06
16,128,5.2069e-05,3e-06
16,256,5.40777e-05,3e-06
16,512,5.40896e-05,3e-06
16,1024,0.000121605,6.075e-05
16,2048,7.82887e-05,3.25e-06
32,16,5.03814e-05,3e-06
32,32,5.11812e-05,3e-06
32,64,5.20195e-05,3.05e-06
32,128,5.26007e-05,3e-06
32,256,5.1292e-05,3e-06
32,512,0.000188073,0.00012085
32,1024,0.000130286,5.995e-05
32,2048,0.000145893,6.095e-05
64,16,5.03324e-05,3e-06
64,32,5.03226e-05,3.1e-06
64,64,4.97257e-05,3e-06
64,128,4.9602e-05,3e-06
64,256,0.000116882,6.45e-05
64,512,0.00011561,5.925e-05
64,1024,0.000134734,6e-05
64,2048,0.000151921,6.12e-05
128,16,4.92447e-05,3e-06
128,32,5.12908e-05,3e-06
128,64,5.14821e-05,3e-06
128,128,0.000109538,5.995e-05
128,256,0.000108463,5.91e-05
128,512,0.000119974,6.145e-05
128,1024,0.000145322,6.43e-05
128,2048,0.00017234,6.57e-05
256,16,5.11937e-05,3.05e-06
256,32,5.12639e-05,3e-06
256,64,0.000110012,6.09e-05
256,128,0.00010743,5.915e-05
256,256,0.000119793,5.94e-05
256,512,0.000135064,6.4e-05
256,1024,0.000163852,6.91e-05
256,2048,0.00021125,7.44e-05
512,16,5.2277e-05,3.2e-06
512,32,0.000110978,5.975e-05
512,64,0.00011321,5.975e-05
512,128,0.000119883,6.04e-05
512,256,0.000130106,6.6e-05
512,512,0.000154619,6.725e-05
512,1024,0.00021302,7.91e-05
512,2048,0.000324767,8.835e-05
1024,16,0.000107492,5.94e-05
1024,32,0.000113521,5.89e-05
1024,64,0.000119992,6.28e-05
1024,128,0.000131669,6.435e-05
1024,256,0.000154451,6.915e-05
1024,512,0.000204494,7.885e-05
1024,1024,0.000333155,0.0001002
1024,2048,0.000556929,0.00012425
2048,16,0.000112212,5.98e-05
2048,32,0.000118364,6.015e-05
2048,64,0.000130338,6.415e-05
2048,128,0.000148283,6.87e-05
2048,256,0.00019868,7.88e-05
2048,512,0.000306854,0.00010385
2048,1024,0.00054247,0.00014655
2048,2048,0.000990146,0.0002108
4096,16,0.000126318,5.985e-05
4096,32,0.000134026,6.42e-05
4096,64,0.00015443,7.08e-05
4096,128,0.000196827,7.935e-05
4096,256,0.000283426,9.94e-05
4096,512,0.000510206,0.00014275
4096,1024,0.000945818,0.0002321
4096,2048,0.00180896,0.0003433
8192,16,0.00036357,6.635e-05
8192,32,0.000650152,7.83e-05
8192,64,0.00115331,8.975e-05
8192,128,0.000915738,0.00010975
8192,256,0.000859517,0.0001504
8192,512,0.00176396,0.00025945
8192,1024,0.00249094,0.0007908
8192,2048,0.00433797,0.0014294
16384,16,0.000526275,7.34e-05
16384,32,0.00113886,9.075e-05
16384,64,0.000915232,0.00011085
16384,128,0.000869206,0.0001432
16384,256,0.00176744,0.0002628
16384,512,0.00228118,0.0007922
16384,1024,0.00418894,0.00117505
16384,2048,0.00719613,0.00132035
32768,16,0.00100211,9.115e-05
32768,32,0.000922028,0.0001122
32768,64,0.000863264,0.00015715
32768,128,0.00187321,0.0002676
32768,256,0.00223044,0.00079385
32768,512,0.00403481,0.00116805
32768,1024,0.00746385,0.014178
32768,2048,0.0136576,0.0463731
65536,16,0.000925138,0.00011585
65536,32,0.000868543,0.0001597
65536,64,0.00179291,0.00025765
65536,128,0.00224529,0.0007949
65536,256,0.00385632,0.0011721
65536,512,0.0071744,0.0151207
65536,1024,0.0137508,0.0834632
65536,2048,0.0267375,0.136057
131072,16,0.000858433,0.0001899
131072,32,0.00177069,0.00028715
131072,64,0.00224724,0.00080595
131072,128,0.00389379,0.00120545
131072,256,0.00634625,0.0162886
131072,512,0.012638,0.0845408
131072,1024,0.0265634,0.193006
131072,2048,0.0540646,0.343285
