batch_size,nrows,time,p_time
16,16,4.97817e-05,3e-06
16,32,4.93216e-05,3e-06
16,64,4.90713e-05,3e-06
16,128,5.15812e-05,3e-06
16,256,4.79559e-05,3e-06
16,512,5.45155e-05,3e-06
16,1024,0.000131224,5.905e-05
16,2048,8.17426e-05,3e-06
32,16,5.04748e-05,3e-06
32,32,5.09052e-05,3e-06
32,64,5.17949e-05,3e-06
32,128,5.24849e-05,3e-06
32,256,5.41831e-05,3e-06
32,512,0.000117445,6e-05
32,1024,0.000133926,6.005e-05
32,2048,0.000140368,5.98e-05
64,16,4.79963e-05,3e-06
64,32,4.88523e-05,3e-06
64,64,4.89847e-05,3e-06
64,128,5.01785e-05,3e-06
64,256,0.000112321,6.01e-05
64,512,0.000115234,6.035e-05
64,1024,0.000135527,6.025e-05
64,2048,0.000159872,6.15e-05
128,16,4.92989e-05,3e-06
128,32,5.02801e-05,3e-06
128,64,5.119e-05,3e-06
128,128,0.000116844,5.995e-05
128,256,0.000116064,6.04e-05
128,512,0.00012656,6.275e-05
128,1024,0.000142965,6.515e-05
128,2048,0.000175282,6.685e-05
256,16,5.24742e-05,3e-06
256,32,5.41321e-05,3e-06
256,64,0.00010903,6.125e-05
256,128,0.000111869,6.185e-05
256,256,0.000117482,6e-05
256,512,0.000130994,6.42e-05
256,1024,0.000169268,6.905e-05
256,2048,0.000216342,7.465e-05
512,16,5.02944e-05,3e-06
512,32,0.000113597,6.075e-05
512,64,0.000114492,6.065e-05
512,128,0.00012492,6.16e-05
512,256,0.0001375,6.475e-05
512,512,0.000163428,6.93e-05
512,1024,0.000219495,8.25e-05
512,2048,0.000335417,9.175e-05
1024,16,0.000115006,6.105e-05
1024,32,0.000117451,6.015e-05
1024,64,0.000124972,6.065e-05
1024,128,0.000136627,6.985e-05
1024,256,0.000159444,6.96e-05
1024,512,0.000215466,8.175e-05
1024,1024,0.000329913,0.0001016
1024,2048,0.000547666,0.0001209
2048,16,0.00012017,6.075e-05
2048,32,0.00012218,6.03e-05
2048,64,0.000131899,6.315e-05
2048,128,0.00015178,6.875e-05
2048,256,0.000198349,7.98e-05
2048,512,0.000317408,0.0001027
2048,1024,0.000545365,0.00014575
2048,2048,0.000977854,0.0002072
4096,16,0.000130867,6.045e-05
4096,32,0.000134931,6.41e-05
4096,64,0.000152557,6.965e-05
4096,128,0.000197797,7.9e-05
4096,256,0.00029111,0.00010075
4096,512,0.000512645,0.00014705
4096,1024,0.0009897,0.0002491
4096,2048,0.00181627,0.0003359
8192,16,0.000368831,6.63e-05
8192,32,0.000653698,7.455e-05
8192,64,0.00112968,8.915e-05
8192,128,0.000915324,0.0001098
8192,256,0.000840194,0.00016515
8192,512,0.00178599,0.0002468
8192,1024,0.00249201,0.00079105
8192,2048,0.00402599,0.00099555
16384,16,0.000668704,7.38e-05
16384,32,0.00120117,7.91e-05
16384,64,0.000915599,0.0001108
16384,128,0.000866406,0.00014275
16384,256,0.00179667,0.00024415
16384,512,0.00223831,0.0007829
16384,1024,0.00422875,0.00115555
16384,2048,0.00698096,0.00138025
32768,16,0.00100698,9.25e-05
32768,32,0.000915339,0.000116
32768,64,0.000877131,0.00014245
32768,128,0.00177117,0.00026385
32768,256,0.00224229,0.00078435
32768,512,0.00404307,0.00117855
32768,1024,0.00745743,0.0149318
32768,2048,0.0135758,0.0426237
65536,16,0.000922174,0.0001208
65536,32,0.000874425,0.00015365
65536,64,0.00179595,0.0002561
65536,128,0.0022388,0.0007957
65536,256,0.00383919,0.0011675
65536,512,0.00694558,0.0149527
65536,1024,0.0138236,0.0776133
65536,2048,0.0267815,0.136103
131072,16,0.000872761,0.0001736
131072,32,0.00177719,0.00028665
131072,64,0.00225317,0.00080025
131072,128,0.00386202,0.0011839
131072,256,0.00648112,0.0157995
131072,512,0.0173689,0.0752876
131072,1024,0.0266734,0.192844
131072,2048,0.0516906,0.340994
