batch_size,nrows,time
16,16,5.28893e-05,0
16,32,6.23261e-05,0
16,64,5.60659e-05,0
16,128,6.1299e-05,0
16,256,7.6023e-05,0
16,512,0.000100097,0
16,1024,0.000154083,0
16,2048,0.000249485,0
32,16,5.26031e-05,0
32,32,6.10029e-05,0
32,64,5.71439e-05,0
32,128,6.65285e-05,0
32,256,7.62401e-05,0
32,512,0.000103903,0
32,1024,0.000148541,0
32,2048,0.000246766,0
64,16,5.34929e-05,0
64,32,5.85046e-05,0
64,64,5.1483e-05,0
64,128,6.01208e-05,0
64,256,7.92142e-05,0
64,512,9.77676e-05,0
64,1024,0.000148739,0
64,2048,0.000247439,0
128,16,5.1774e-05,0
128,32,5.78604e-05,0
128,64,5.21615e-05,0
128,128,6.09673e-05,0
128,256,7.60031e-05,0
128,512,9.79749e-05,0
128,1024,0.000150069,0
128,2048,0.000251195,0
256,16,5.24521e-05,0
256,32,5.84871e-05,0
256,64,5.64455e-05,0
256,128,6.21717e-05,0
256,256,7.58592e-05,0
256,512,0.000101954,0
256,1024,0.000155007,0
256,2048,0.0002639,0
512,16,5.511e-05,0
512,32,6.41361e-05,0
512,64,5.79585e-05,0
512,128,6.70516e-05,0
512,256,8.53306e-05,0
512,512,0.000121867,0
512,1024,0.000196982,0
512,2048,0.000347338,0
1024,16,5.98253e-05,0
1024,32,6.69611e-05,0
1024,64,6.11637e-05,0
1024,128,7.49299e-05,0
1024,256,9.99112e-05,0
1024,512,0.000153215,0
1024,1024,0.000253371,0
1024,2048,0.00046071,0
2048,16,6.40635e-05,0
2048,32,7.33367e-05,0
2048,64,6.79935e-05,0
2048,128,8.22509e-05,0
2048,256,0.000115568,0
2048,512,0.000180914,0
2048,1024,0.000301498,0
2048,2048,0.000559583,0
4096,16,7.03221e-05,0
4096,32,8.579e-05,0
4096,64,7.95433e-05,0
4096,128,0.000106602,0
4096,256,0.000161739,0
4096,512,0.000271093,0
4096,1024,0.000505278,0
4096,2048,0.00135248,0
8192,16,8.32574e-05,0
8192,32,0.000106974,0
8192,64,0.00010253,0
8192,128,0.000150828,0
8192,256,0.000258877,0
8192,512,0.000485529,0
8192,1024,0.000999568,0
8192,2048,0.00230084,0
16384,16,0.00010958,0
16384,32,0.000157513,0
16384,64,0.000148593,0
16384,128,0.000243049,0
16384,256,0.000439605,0
16384,512,0.000917854,0
16384,1024,0.00202102,0
16384,2048,0.004178,0
32768,16,0.000165329,0
32768,32,0.000255855,0
32768,64,0.000239374,0
32768,128,0.000426077,0
32768,256,0.000883892,0
32768,512,0.00178425,0
32768,1024,0.00402184,0
32768,2048,0.00721574,0
65536,16,0.000277908,0
65536,32,0.000452712,0
65536,64,0.000427932,0
65536,128,0.000819939,0
65536,256,0.00170337,0
65536,512,0.00352689,0
65536,1024,0.00713652,0
65536,2048,0.0139864,0
131072,16,0.000500194,0
131072,32,0.000846849,0
131072,64,0.000819382,0
131072,128,0.00158624,0
131072,256,0.00332529,0
131072,512,0.00660347,0
131072,1024,0.0141611,0
131072,2048,0.0260938,0
