batch_sizes,nrows,time,p_time
32768,16,9.41057e-05,0
32768,32,0.000144295,0
32768,64,0.000236313,0
32768,128,0.000443977,0
32768,256,0.000850953,0
32768,512,0.00169725,0
32768,1024,0.00350167,0
32768,2048,0.00707921,0
65536,16,0.000135662,0
65536,32,0.00023446,0
65536,64,0.000425704,0
65536,128,0.000837344,0
65536,256,0.00164735,0
65536,512,0.00332741,0
65536,1024,0.00677599,0
65536,2048,0.0130954,0
131072,16,0.000214754,0
131072,32,0.000413538,0
131072,64,0.000810378,0
131072,128,0.00161814,0
131072,256,0.00324683,0
131072,512,0.00651181,0
131072,1024,0.0126217,0
131072,2048,0.0257299,0
262144,16,0.000376389,0
262144,32,0.000786601,0
262144,64,0.00156688,0
262144,128,0.00320903,0
262144,256,0.00639117,0
262144,512,0.012192,0
262144,1024,0.0249658,0
262144,2048,0.0478058,0
524288,16,0.000713539,0
524288,32,0.00152069,0
524288,64,0.00308411,0
524288,128,0.00631502,0
524288,256,0.0122002,0
524288,512,0.0242587,0
524288,1024,0.0474421,0
524288,2048,0,0
