batch_sizes,nrows,time,p_time
32768,16,0.000124564,1e-06
32768,32,0.000146435,1e-06
32768,64,0.000180746,1e-06
32768,128,0.000291455,1e-06
32768,256,0.000506054,1e-06
32768,512,0.00124986,1e-06
32768,1024,0.00615663,5.265e-05
32768,2048,0.0160531,0.0967616
65536,16,0.00020628,1e-06
65536,32,0.000251002,1e-06
65536,64,0.000314666,1e-06
65536,128,0.000539664,1.05e-06
65536,256,0.000966163,1.05e-06
65536,512,0.00245957,1e-06
65536,1024,0.0120732,0.0996331
65536,2048,0.0318215,0.239225
131072,16,0.000548393,2e-06
131072,32,0.0006353,2e-06
131072,64,0.000758677,2e-06
131072,128,0.00120973,2e-06
131072,256,0.00206674,2e-06
131072,512,0.00506723,2e-06
131072,1024,0.0243069,0.247098
131072,2048,0.0642355,0.482997
262144,16,0.000889252,2e-06
262144,32,0.00105325,2.05e-06
262144,64,0.00132109,2e-06
262144,128,0.0022262,2e-06
262144,256,0.00394559,2e-06
262144,512,0.00994346,2.05e-06
262144,1024,0.0488482,0.497645
262144,2048,0,0
524288,16,0.00152017,2e-06
524288,32,0.00190524,2.05e-06
524288,64,0.00238417,2e-06
524288,128,0.00421032,2e-06
524288,256,0.00765052,2.15e-06
524288,512,0.0196361,2.3e-06
524288,1024,0,0
524288,2048,0,0
