nrows,nrec,tile_size,time,p_time
16,1,2,0.000542171,2e-06
32,1,2,0.000632393,2e-06
64,1,2,0.000760174,2e-06
128,1,2,0.00121015,2e-06
256,1,2,0.00206736,2e-06
512,1,2,0.0050706,2e-06
1024,1,2,0.0242791,0.247236
2048,1,2,0.0642363,0.483023
16,1,4,0.000547139,2e-06
32,1,4,0.000638339,2e-06
64,1,4,0.000762262,2e-06
128,1,4,0.00121108,2e-06
256,1,4,0.00207249,2e-06
512,1,4,0.00507474,2e-06
1024,1,4,0.0243378,0.247089
2048,1,4,0.0642382,0.48302
16,1,16,0.000545783,2e-06
32,1,16,0.000632684,2e-06
64,1,16,0.000763095,2e-06
128,1,16,0.00121348,2e-06
256,1,16,0.00206761,2e-06
512,1,16,0.00507693,2.05e-06
1024,1,16,0.0242791,0.247161
2048,1,16,0.0642638,0.482995
16,1,32,0.000545917,2e-06
32,1,32,0.000633951,2e-06
64,1,32,0.000758741,2e-06
128,1,32,0.00120946,2e-06
256,1,32,0.00206912,2e-06
512,1,32,0.00506901,2e-06
1024,1,32,0.0242855,0.247242
2048,1,32,0.0642649,0.482984
16,1,64,0.000540899,2e-06
32,1,64,0.000630954,2e-06
64,1,64,0.000761056,2e-06
128,1,64,0.00121215,2e-06
256,1,64,0.00207574,2.05e-06
512,1,64,0.00507381,2e-06
1024,1,64,0.0242761,0.247184
2048,1,64,0.0642589,0.482991
16,1,128,0.000545362,2e-06
32,1,128,0.000632666,2e-06
64,1,128,0.000764947,2e-06
128,1,128,0.00120889,2e-06
256,1,128,0.00206908,2e-06
512,1,128,0.0050734,2e-06
1024,1,128,0.0242743,0.247194
2048,1,128,0.064198,0.483054
16,2,2,0.000542248,2e-06
32,2,2,0.000634839,2e-06
64,2,2,0.000760332,2.05e-06
128,2,2,0.00121033,2e-06
256,2,2,0.00207206,2e-06
512,2,2,0.00507066,2e-06
1024,2,2,0.0243016,0.247157
2048,2,2,0.0642856,0.482961
16,2,4,0.000542972,2e-06
32,2,4,0.000633042,2e-06
64,2,4,0.000760992,2e-06
128,2,4,0.00121598,2e-06
256,2,4,0.00206916,2e-06
512,2,4,0.0050729,2e-06
1024,2,4,0.0242535,0.247204
2048,2,4,0.0641165,0.483131
16,2,16,0.00054064,2e-06
32,2,16,0.000630751,2e-06
64,2,16,0.000759764,2e-06
128,2,16,0.00120936,2e-06
256,2,16,0.00206947,2e-06
512,2,16,0.00506889,2e-06
1024,2,16,0.0243085,0.247105
2048,2,16,0.0642082,0.483036
16,2,32,0.000543936,2e-06
32,2,32,0.00063611,2e-06
64,2,32,0.000758982,2e-06
128,2,32,0.00121336,2e-06
256,2,32,0.00207089,2e-06
512,2,32,0.00507028,2e-06
1024,2,32,0.0242907,0.24715
2048,2,32,0.0642902,0.482951
16,2,64,0.000545524,2e-06
32,2,64,0.000635371,2e-06
64,2,64,0.000764321,2e-06
128,2,64,0.00121265,2.05e-06
256,2,64,0.00207429,2e-06
512,2,64,0.00507311,2e-06
1024,2,64,0.0242661,0.247239
2048,2,64,0.0642958,0.482956
16,2,128,0.000540533,2e-06
32,2,128,0.000630702,2e-06
64,2,128,0.000758256,2e-06
128,2,128,0.00121043,2e-06
256,2,128,0.00206684,2e-06
512,2,128,0.00507106,2e-06
1024,2,128,0.0243387,0.247109
2048,2,128,0.0642614,0.485911
16,3,2,0.000542521,2e-06
32,3,2,0.000631404,2e-06
64,3,2,0.000757801,2e-06
128,3,2,0.00121057,2e-06
256,3,2,0.00207145,2e-06
512,3,2,0.00507397,2e-06
1024,3,2,0.0242695,0.247243
2048,3,2,0.0643143,0.482935
16,3,4,0.000543194,2e-06
32,3,4,0.000631432,2e-06
64,3,4,0.000758783,2e-06
128,3,4,0.00121266,2e-06
256,3,4,0.00207119,2e-06
512,3,4,0.00507232,2e-06
1024,3,4,0.0243288,0.247211
2048,3,4,0.0643768,0.482868
16,3,16,0.000544388,2e-06
32,3,16,0.000630737,2e-06
64,3,16,0.000758815,2e-06
128,3,16,0.00120988,2e-06
256,3,16,0.00207089,2e-06
512,3,16,0.00507132,2e-06
1024,3,16,0.0243352,0.247187
2048,3,16,0.0640833,0.483127
16,3,32,0.000542413,2e-06
32,3,32,0.000632463,2e-06
64,3,32,0.000759478,2e-06
128,3,32,0.00120929,2e-06
256,3,32,0.00206597,2e-06
512,3,32,0.00507023,2.05e-06
1024,3,32,0.0242695,0.247264
2048,3,32,0.0642572,0.482995
16,3,64,0.000546877,2e-06
32,3,64,0.000635897,2e-06
64,3,64,0.000759217,2e-06
128,3,64,0.00121279,2e-06
256,3,64,0.00207101,2e-06
512,3,64,0.00507223,2e-06
1024,3,64,0.0243558,0.247066
2048,3,64,0.064264,0.482975
16,3,128,0.000542696,2e-06
32,3,128,0.00063164,2e-06
64,3,128,0.000760477,2e-06
128,3,128,0.00120958,2e-06
256,3,128,0.00207297,2e-06
512,3,128,0.00507186,2e-06
1024,3,128,0.0242969,0.247202
2048,3,128,0.0643634,0.482887
16,4,2,0.000546564,2e-06
32,4,2,0.000633715,2e-06
64,4,2,0.000763475,2e-06
128,4,2,0.00121407,2.05e-06
256,4,2,0.00207261,2e-06
512,4,2,0.00506999,2.05e-06
1024,4,2,0.0242899,0.247152
2048,4,2,0.0643937,0.48285
16,4,4,0.000543603,2e-06
32,4,4,0.000633781,2e-06
64,4,4,0.00076133,2e-06
128,4,4,0.00120736,2e-06
256,4,4,0.00206867,2.05e-06
512,4,4,0.00507289,2e-06
1024,4,4,0.0242695,0.247122
2048,4,4,0.0641465,0.483101
16,4,16,0.000543087,2e-06
32,4,16,0.000631773,2e-06
