batch_size,nrows,time
16,16,3.97128e-05,1e-06
16,32,3.99997e-05,1e-06
16,64,4.13658e-05,1e-06
16,128,4.31658e-05,1e-06
16,256,4.36548e-05,1e-06
16,512,4.52734e-05,1e-06
16,1024,9.17845e-05,1e-06
16,2048,0.000143914,1.375e-05
32,16,3.93777e-05,1e-06
32,32,4.06463e-05,1e-06
32,64,4.12967e-05,1e-06
32,128,4.17107e-05,1e-06
32,256,4.40179e-05,1e-06
32,512,4.67215e-05,1e-06
32,1024,0.000136791,1.405e-05
32,2048,0.000145937,1.375e-05
64,16,4.06685e-05,1e-06
64,32,4.05252e-05,1e-06
64,64,4.09677e-05,1e-06
64,128,4.26856e-05,1e-06
64,256,4.53477e-05,1e-06
64,512,4.75303e-05,1e-06
64,1024,0.000147521,1.325e-05
64,2048,0.000164125,1.295e-05
128,16,4.03229e-05,1e-06
128,32,4.09883e-05,1e-06
128,64,4.15773e-05,1e-06
128,128,4.40588e-05,1e-06
128,256,4.55235e-05,1e-06
128,512,4.87287e-05,1e-06
128,1024,0.000145854,1.3e-05
128,2048,0.000190192,1.275e-05
256,16,4.09571e-05,1e-06
256,32,4.17005e-05,1e-06
256,64,4.38068e-05,1e-06
256,128,4.53843e-05,1e-06
256,256,4.72177e-05,1e-06
256,512,5.46066e-05,1e-06
256,1024,0.000167769,1.265e-05
256,2048,0.00023761,1.29e-05
512,16,4.23524e-05,1e-06
512,32,4.4267e-05,1e-06
512,64,4.53422e-05,1e-06
512,128,4.79508e-05,1e-06
512,256,5.09812e-05,1e-06
512,512,6.34972e-05,1e-06
512,1024,0.000208288,1.29e-05
512,2048,0.000358799,1.345e-05
1024,16,4.74136e-05,1e-06
1024,32,4.90338e-05,1e-06
1024,64,5.02628e-05,1e-06
1024,128,5.35579e-05,1e-06
1024,256,5.96068e-05,1e-06
1024,512,8.4731e-05,1e-06
1024,1024,0.00037323,1.38e-05
1024,2048,0.000646141,1.435e-05
2048,16,5.07124e-05,1e-06
2048,32,5.21133e-05,1e-06
2048,64,5.23742e-05,1e-06
2048,128,5.9914e-05,1e-06
2048,256,7.54754e-05,1e-06
2048,512,0.000121915,1e-06
2048,1024,0.000505049,1.435e-05
2048,2048,0.00117903,1.535e-05
4096,16,5.38014e-05,1e-06
4096,32,5.61275e-05,1e-06
4096,64,6.07887e-05,1.05e-06
4096,128,7.52214e-05,1e-06
4096,256,0.000102904,1e-06
4096,512,0.000195493,1e-06
4096,1024,0.000897916,1.535e-05
4096,2048,0.00224801,1.64e-05
8192,16,6.40964e-05,1e-06
8192,32,6.83327e-05,1e-06
8192,64,7.73455e-05,1e-06
8192,128,0.000107672,1e-06
8192,256,0.00015851,1e-06
8192,512,0.00034546,1e-06
8192,1024,0.00168486,1.685e-05
8192,2048,0.00425,1.935e-05
16384,16,8.35015e-05,1e-06
16384,32,9.70067e-05,1e-06
16384,64,0.000111995,1e-06
16384,128,0.000168071,1e-06
16384,256,0.00027615,1e-06
16384,512,0.000652819,1e-06
16384,1024,0.00314255,1.965e-05
16384,2048,0.00823621,5.065e-05
32768,16,0.000126217,1.05e-06
32768,32,0.000146309,1e-06
32768,64,0.000181529,1.05e-06
32768,128,0.000292051,1e-06
32768,256,0.000506756,1e-06
32768,512,0.00125499,1e-06
32768,1024,0.00617191,5.14e-05
32768,2048,0.0160876,0.0968293
65536,16,0.000206837,1e-06
65536,32,0.000253935,1e-06
65536,64,0.000315653,1e-06
65536,128,0.000539786,1e-06
65536,256,0.000967628,1e-06
65536,512,0.00247039,1.1e-06
65536,1024,0.0120786,0.0995964
65536,2048,0.0318278,0.23926
131072,16,0.000540134,2.1e-06
131072,32,0.000628728,2.05e-06
131072,64,0.000752238,2e-06
131072,128,0.00120234,2e-06
131072,256,0.00206492,2e-06
131072,512,0.00507257,2e-06
131072,1024,0.0243886,0.247133
131072,2048,0.0643299,0.482897
